Id,SalePrice
1461,126063.49679579631
1462,145241.35002230012
1463,179191.16984560946
1464,225628.50421973702
1465,187463.39434973826
1466,179191.16984560946
1467,179191.16984560946
1468,179191.16984560946
1469,175234.5511391886
1470,120499.99999999994
1471,221560.4284466547
1472,89890.17926070573
1473,89890.17926070573
1474,146901.84175811888
1475,127749.75538137047
1476,280355.35936917376
1477,255223.05739000102
1478,280355.35936917376
1479,280355.35936917376
1480,546861.6788830139
1481,353456.1128587034
1482,213830.64132577865
1483,175234.5511391886
1484,176737.7278883042
1485,175234.5511391886
1486,225628.50421973702
1487,404984.4225070855
1488,244318.40732952597
1489,228794.21071284873
1490,280627.1232786279
1491,179687.1712099021
1492,85274.04057071578
1493,146685.4260660507
1494,341000.0000000003
1495,255931.78521024366
1496,299945.854235449
1497,148037.35136132647
1498,174017.7621792663
1499,148037.35136132647
1500,174017.7621792663
1501,174017.7621792663
1502,164038.685154821
1503,228794.21071284873
1504,244318.40732952597
1505,244318.40732952597
1506,190795.98806093272
1507,299799.9999999999
1508,176054.2779818745
1509,176054.2779818745
1510,140569.74486153302
1511,136172.9210699823
1512,196723.15572906003
1513,136172.9210699823
1514,134379.44516075953
1515,196723.15572906003
1516,167995.39618596894
1517,136727.83184121654
1518,136172.9210699823
1519,221560.4284466547
1520,144709.93675587373
1521,144709.93675587373
1522,167995.39618596894
1523,133402.66894456933
1524,105000.00000000004
1525,133402.66894456933
1526,135476.16942695447
1527,144709.93675587373
1528,105000.00000000004
1529,140971.15478248996
1530,191364.5040960205
1531,114091.45477468325
1532,114671.26928747242
1533,114671.26928747242
1534,102948.48196784015
1535,127882.35854605318
1536,111760.02515264535
1537,102948.48196784015
1538,117106.37088847232
1539,164019.3049014088
1540,44606.613859381876
1541,164019.3049014088
1542,146903.67262651422
1543,214500.00000000012
1544,78386.27154453492
1545,127499.01960407382
1546,118427.19282327013
1547,146903.67262651422
1548,146903.67262651422
1549,122739.96572589902
1550,146903.67262651422
1551,113973.95506053307
1552,130754.58398307144
1553,164019.3049014088
1554,110688.4275793997
1555,246309.9241412743
1556,192789.18915215382
1557,137110.0547822061
1558,137110.0547822061
1559,147009.33055207375
1560,167687.9666064626
1561,100874.9882917272
1562,128335.49781724461
1563,136407.64907239703
1564,190000.00000000012
1565,162896.45028897942
1566,246309.9241412743
1567,108000.0
1568,246309.9241412743
1569,136381.8169698586
1570,129505.53170613009
1571,125779.2222116389
1572,125779.2222116389
1573,157963.47280308933
1574,129505.53170613009
1575,187789.43145558145
1576,282471.4771108578
1577,190594.88308501212
1578,179687.1712099021
1579,144941.68978942183
1580,182587.57094971646
1581,144941.68978942183
1582,128754.5608894033
1583,295485.65819653595
1584,324535.00735667977
1585,144941.68978942183
1586,108000.0
1587,131835.74835475106
1588,150399.97513091448
1589,131835.74835475106
1590,166555.7449945483
1591,125779.2222116389
1592,73891.81280764459
1593,73891.81280764459
1594,147009.33055207375
1595,167687.9666064626
1596,228746.6765304949
1597,270559.6052628701
1598,270559.6052628701
1599,136835.6678647788
1600,136835.6678647788
1601,133801.19576138677
1602,133801.19576138677
1603,133801.19576138677
1604,293367.2976808638
1605,154622.1200216839
1606,173307.37410707943
1607,142999.9999999999
1608,298764.37360014085
1609,198164.35925355513
1610,185480.80436257712
1611,125815.37598733322
1612,232108.76646185195
1613,232108.76646185195
1614,83342.66614405847
1615,83342.66614405847
1616,83342.66614405847
1617,87067.41740390082
1618,125815.37598733322
1619,125815.37598733322
1620,142999.9999999999
1621,154622.1200216839
1622,142323.1416240241
1623,163731.61589729908
1624,163731.61589729908
1625,113252.81844208002
1626,196723.15572906003
1627,179191.16984560946
1628,225628.50421973702
1629,179191.16984560946
1630,264636.4596731594
1631,187463.39434973826
1632,187463.39434973826
1633,179191.16984560946
1634,179191.16984560946
1635,183809.6497534808
1636,175234.5511391886
1637,179191.16984560946
1638,167013.7581742433
1639,188267.26454465857
1640,258634.70599562328
1641,190795.98806093272
1642,310833.37259022717
1643,244318.40732952597
1644,280627.1232786279
1645,194316.0346432479
1646,177974.04376832928
1647,154860.78032098926
1648,136172.9210699823
1649,134433.48947467929
1650,126063.49679579631
1651,126063.49679579631
1652,89890.17926070573
1653,111839.17024012639
1654,146901.84175811888
1655,146901.84175811888
1656,146901.84175811888
1657,146901.84175811888
1658,127749.75538137047
1659,146901.84175811888
1660,134379.44516075953
1661,460455.9588060517
1662,460455.9588060517
1663,406829.5523413552
