Id,SalePrice
1461,114500
1462,137900
1463,181000
1464,244000
1465,170000
1466,186500
1467,172400
1468,169000
1469,173000
1470,143250
1471,205000
1472,85400
1473,85400
1474,148500
1475,127500
1476,280000
1477,250000
1478,253293
1479,253293
1480,415298
1481,465000
1482,202500
1483,174000
1484,167240
1485,184100
1486,215000
1487,290000
1488,147000
1489,263435
1490,339750
1491,233000
1492,144000
1493,158000
1494,336000
1495,258000
1496,197000
1497,196000
1498,148800
1499,148800
1500,148800
1501,172500
1502,165000
1503,287090
1504,239000
1505,339750
1506,185000
1507,299800
1508,170000
1509,170000
1510,165000
1511,138500
1512,149500
1513,118000
1514,136000
1515,137000
1516,176000
1517,119000
1518,142000
1519,133000
1520,154000
1521,140000
1522,143000
1523,123000
1524,105000
1525,128900
1526,132000
1527,123000
1528,105000
1529,128000
1530,158000
1531,107500
1532,119000
1533,119000
1534,105900
1535,143000
1536,115000
1537,100000
1538,159500
1539,159500
1540,122000
1541,163000
1542,132500
1543,207000
1544,88000
1545,134900
1546,134900
1547,132500
1548,141500
1549,79500
1550,140200
1551,85000
1552,131500
1553,159500
1554,107000
1555,235000
1556,192000
1557,102000
1558,102000
1559,135900
1560,175000
1561,94000
1562,122000
1563,142000
1564,190000
1565,158900
1566,235000
1567,108000
1568,240000
1569,61000
1570,110000
1571,108000
1572,115000
1573,176000
1574,127500
1575,184900
1576,187000
1577,178000
1578,171000
1579,152000
1580,195000
1581,144000
1582,127000
1583,297000
1584,213500
1585,140000
1586,82500
1587,82500
1588,145900
1589,118000
1590,107000
1591,115000
1592,60000
1593,60000
1594,155000
1595,175000
1596,239000
1597,235000
1598,235000
1599,151000
1600,151000
1601,141000
1602,141000
1603,34900
1604,275000
1605,172000
1606,171000
1607,143000
1608,239000
1609,201000
1610,170000
1611,134000
1612,201000
1613,271000
1614,86000
1615,92000
1616,75000
1617,85000
1618,130500
1619,134000
1620,173000
1621,172000
1622,143000
1623,165000
1624,165000
1625,127500
1626,154000
1627,187500
1628,215000
1629,193000
1630,236500
1631,213500
1632,213500
1633,169000
1634,178000
1635,174000
1636,174000
1637,188000
1638,162900
1639,165150
1640,240000
1641,185000
1642,310000
1643,226000
1644,232600
1645,197500
1646,167900
1647,175500
1648,148000
1649,120500
1650,129000
1651,120500
1652,83000
1653,118000
1654,148500
1655,148500
1656,148500
1657,148500
1658,127500
1659,140000
1660,143000
1661,318000
1662,306000
1663,385000
1664,372402
1665,253293
1666,374000
1667,446261
1668,280000
1669,220000
1670,306000
1671,318000
1672,318000
1673,280000
1674,284000
1675,194700
1676,202500
1677,230000
1678,372402
1679,415298
1680,319900
1681,230000
1682,374000
1683,209500
1684,174000
1685,174000
1686,167240
1687,163900
1688,200000
1689,215000
1690,183200
1691,188500
1692,222000
1693,184100
1694,192000
1695,180000
1696,222500
